Topic,Count,Name,Representation,Representative_Docs
10,248,10_rainfall_desert_precipitation_climates,"['rainfall', 'desert', 'precipitation', 'climates', 'humid', 'subtropical', 'temperate', 'mm', 'monsoon', 'dry']","['Normally, in the northern hemisphere, the northern portions of the temperate zone feature Boreal, Continental, and Oceanic climates, while the southern portions of the temperate zone are often Mediterranean and humid subtropical climates.', 'Humid Subtropical climates generally have long, hot and humid summers with convective showers in summer and a peak seasonal rainfall in the hottest months.', 'Mediterranean Climates, opposite to the humid subtropical and monsoonal climates, have a dry summer, with rainfall in the winter and cooler months.']"
11,248,11_ocean_acidification_oceans_marine,"['ocean', 'acidification', 'oceans', 'marine', 'overfishing', 'acid', 'plastic', 'fish', 'dioxide', 'dissolved']","['Ocean acidification can also have affects on marine fish larvae.', 'Carbon dioxide also causes ocean acidification because it dissolves in water to form carbonic acid.', ""Ocean acidification is the increase in the acidity of the Earth's oceans caused by the uptake of carbon dioxide () from the atmosphere.""]"
12,247,12_coral_reefs_bleaching_reef,"['coral', 'reefs', 'bleaching', 'reef', 'corals', 'depths', '1998', 'temperatures', 'marine', 'stress']","['Mass ejections are known as coral bleaching because the algae contribute to coral coloration; some colors, however, are due to host coral pigments, such as green fluorescent proteins (GFPs).', 'There are a few ways to tell the impacts of coral bleaching on reefs.', 'An atoll lagoon is a circular coral reef, or a number of coral islands that surround a lagoon.']"
13,227,13_carbon_price_tax_trading,"['carbon', 'price', 'tax', 'trading', 'cap', 'emissions', 'pricing', 'market', 'scheme', 'taxes']","['It specifies that countries could use either emissions trading or carbon taxes to price carbon.', 'The optimal carbon price, or optimal carbon tax, is the market price (or carbon tax) on carbon emissions that balances the incremental costs of reducing carbon emissions with the incremental benefits of reducing climate damages.', 'A pure carbon tax fixes the price of carbon, but allows the amount of carbon emissions to vary; and a pure carbon cap places a limit on carbon emissions, letting the market price of tradable carbon allowances vary.']"
14,226,14_conference_nations_parties_framework,"['conference', 'nations', 'parties', 'framework', 'agreement', 'commitments', 'change', 'countries', 'binding', 'climate']","['This was done as a prelude for the United Nations Climate Change Conference (a.k.a.', ""The 2013 United Nations Climate Change Conference was the 19th yearly session of the Conference of the Parties (COP) to the 1992 United Nations Framework Convention on Climate Change (UNFCCC) and the 9th session of the Meeting of the Parties (CMP) to the 1997 Kyoto Protocol (the protocol having been developed under the UNFCCC's charter)."", ""The 2012 United Nations Climate Change Conference was the 18th yearly session of the Conference of the Parties (COP) to the 1992 United Nations Framework Convention on Climate Change (UNFCCC) and the 8th session of the Meeting of the Parties (CMP) to the 1997 Kyoto Protocol (the protocol having been developed under the UNFCCC 's charter).""]"
15,223,15_nuclear_power_disaster_accident,"['nuclear', 'power', 'disaster', 'accident', 'weapons', 'accidents', 'radiation', 'radioactive', '1986', 'contamination']","['These anti-nuclear concerns related to nuclear accidents, nuclear proliferation, nuclear terrorism and radioactive waste disposal.', 'For some countries, nuclear power affords energy independence.', 'Other concerns include nuclear proliferation, the high cost of nuclear power plants, and nuclear terrorism.']"
16,211,16_species_threatened_endangered_habitat,"['species', 'threatened', 'endangered', 'habitat', 'listed', 'critically', 'conservation', 'concern', 'loss', 'considered']","['It is a critically endangered species, threatened by habitat loss.', 'It is a critically endangered species threatened by habitat loss.', 'It is an endangered species threatened by habitat loss.']"
17,203,17_weather_sensitivity_forcing_models,"['weather', 'sensitivity', 'forcing', 'models', 'forcings', 'feedback', 'climate', 'meteorology', 'radiative', 'feedbacks']","[""The climate system is responding to the current climate forcing and adjusts following climate sensitivity to reach a climate equilibrium, Earth 's energy balance."", 'Numerical weather prediction (NWP) uses mathematical models of the atmosphere and oceans to predict the weather based on current weather conditions.', 'A component of climate sensitivity is directly due to radiative forcing, for instance by , and a further contribution arises from climate feedback, both positive and negative.']"
18,203,18_glacial_years_ago_epoch,"['glacial', 'years', 'ago', 'epoch', 'period', 'geological', '000', 'occurred', 'interglacial', 'periods']","['In July 2018, the International Union of Geological Sciences split the Holocene epoch into three distinct subsections, Greenlandian (11,700 years ago to 8,326 years ago), Northgrippian (8,326 years ago to 4,200 years ago) and Meghalayan (4,200 years ago to the present), as proposed by International Commission on Stratigraphy.', 'In the Lunar geologic timescale, the Late Imbrian epoch occurred between 3800 million years ago to about 3200 million years ago.', ""The last glacial period, commonly referred to as the 'Ice Age', spanned 125,000 to 14,500 years ago and was the most recent glacial period within the current ice age which occurred during the last years of the Pleistocene epoch.""]"
19,198,19_wind_turbines_power_farm,"['wind', 'turbines', 'power', 'farm', 'capacity', 'farms', 'electricity', 'offshore', 'installed', 'turbine']","['The Alta Wind Energy Center in California is the largest wind farm in the United States with a capacity of 1,548 MW.', 'The Oklahoma Wind Power Initiative supports the development of wind power in the state.', 'Wind Powering America (WPA) is another DOE initiative that seeks to increase the use of wind energy.']"
20,196,20_cattle_agriculture_farming_livestock,"['cattle', 'agriculture', 'farming', 'livestock', 'land', 'agricultural', 'farmers', 'food', 'production', 'crop']","['The economy is centered on cattle-ranching and pineapple and rice farming.', 'In cyclic agriculture, cattle are grazed on farm land that is resting and rejuvenating.', 'It is also used as grazing land for cattle and other livestock.']"
21,188,21_mitigation_adaptation_climate_change,"['mitigation', 'adaptation', 'climate', 'change', 'risk', 'risks', 'countries', 'engineering', 'effects', 'resilience']","['Effects of global warming (climate change) are expected to impact developing countries more than wealthier countries, as most of them have a high ""climate vulnerability"".', 'Adaptation is especially important in developing countries since those countries are bearing the brunt of the effects of global warming.', 'Another approach to climate change mitigation is climate engineering.']"
22,182,22_named_committee_arctic_station,"['named', 'committee', 'arctic', 'station', 'photos', 'survey', 'research', 'program', 'working', 'states']","['Named by Advisory Committee on Antarctic Names (US-ACAN) for Thomas L. Pavlak, United States Antarctic Research Program (USARP) glaciologist at South Pole Station, 1962-63.', 'It was named by the Advisory Committee on Antarctic Names for Allen R. Crooker, a United States Antarctic Research Program biologist at Palmer Station in 1972.', 'Named by Advisory Committee on Antarctic Names (US-ACAN) for Lauren A. Schroeder, United States Antarctic Research Program (USARP) biologist at McMurdo Station, 1967-68.']"
23,181,23_pollution_air_deaths_premature,"['pollution', 'air', 'deaths', 'premature', 'particulate', 'health', 'exposure', 'matter', 'particulates', 'cancer']","['In 2010, air pollution caused 1.2 million premature deaths in China.', 'In 2008 the World Health Organization (WHO) and other organizations calculated that coal particulates pollution cause approximately one million deaths annually across the world, which is approximately one third of all premature deaths related to all air pollution sources, for example in Istanbul by lung diseases and cancer.', 'In 2012, air pollution caused premature deaths on average of 1 year in Europe, and was a significant risk factor for a number of pollution-related diseases, including respiratory infections, heart disease, COPD, stroke and lung cancer.']"
24,179,24_oil_reserves_production_peak,"['oil', 'reserves', 'production', 'peak', 'shale', 'petroleum', 'cubic', 'proven', 'gas', 'field']","['Oil extraction is simply the removal of oil from the reservoir (oil pool).', 'The peak of oil discoveries was in 1965, and oil production per year has surpassed oil discoveries every year since 1980.', ""All of Hubbert's analyses of peak oil specifically excluded oil manufactured from oil shale or mined from oil sands.""]"
25,176,25_star_sun_stars_light,"['star', 'sun', 'stars', 'light', 'type', 'luminosity', 'times', 'outer', 'mass', 'sequence']","[""This star has 5.3 times the mass of the Sun and is radiating around 1,047 times the Sun 's luminosity."", 'At this heat, the star has the golden-hued glow of a G-type star.', 'This star has about 1.94 times the mass of the Sun.']"
26,175,26_rise_sea_level_tide,"['rise', 'sea', 'level', 'tide', 'levels', 'mm', 'ice', 'coastal', 'yr', 'cm']","['This new source of ice volume flows down from above sea level, displacing sea water and so contributing to sea level rise.', 'In the future, sea level rise may threaten to submerge the nation entirely as it is estimated that a sea level rise of in the next 100 years could make Tuvalu uninhabitable.', '""20th century acceleration in global sea-level rise"".']"
27,172,27_solar_irradiance_radiation_sun,"['solar', 'irradiance', 'radiation', 'sun', 'atmosphere', 'infrared', 'earth', 'vapor', 'greenhouse', 'activity']","[""Total solar irradiance (TSI) – the amount of solar radiation received at the top of Earth's atmosphere – has been measured since 1978 by a series of overlapping NASA and ESA satellite experiments to be 1.365 kilo\u2060watts per square meter (kW/m²)."", 'The Solar Radiation and Climate Experiment/Total Irradiance Measurement (SORCE/TIM) TSI values are lower than prior measurements by the Earth Radiometer Budget Experiment (ERBE) on the Earth Radiation Budget Satellite (ERBS), VIRGO on the Solar Heliospheric Observatory (SoHO) and the ACRIM instruments on the Solar Maximum Mission (SMM), Upper Atmosphere Research Satellite (UARS) and ACRIMSat.', 'Solar irradiance is about 0.9 W/m brighter during solar maximum than during solar minimum, which correlated in measured average global temperature over the period 1959-2004.']"
28,172,28_extinction_species_extinctions_extinct,"['extinction', 'species', 'extinctions', 'extinct', 'event', 'mass', 'human', 'humans', 'occurred', 'years']","['The last such mass extinction led to the demise of the dinosaurs and coincided with a large meteorite impact; this is the Cretaceous–Paleogene extinction event (also known as the K–T or K–Pg extinction event), which occurred 66 million years ago.', 'This can result in extinction at the population level and even extinction of whole species.', 'The Holocene extinction is also known as the ""sixth extinction"", as it is possibly the sixth mass extinction event, after the Ordovician–Silurian extinction events, the Late Devonian extinction, the Permian–Triassic extinction event, the Triassic–Jurassic extinction event, and the Cretaceous–Paleogene extinction event.']"
29,169,29_fish_feed_predators_small,"['fish', 'feed', 'predators', 'small', 'insects', 'prey', 'aquatic', 'species', 'algae', 'birds']","['As the name implies, they are small fish that have skin with a velvet texture.', 'They mostly feed on small aquatic insects and fish.', 'They feed on invertebrates, small fish and fruits.']"
30,167,30_photosynthesis_oxygen_plants_photosynthetic,"['photosynthesis', 'oxygen', 'plants', 'photosynthetic', 'light', 'organisms', 'respiration', 'dioxide', 'carbon', 'fixation']","['Since water is used as the electron donor in oxygenic photosynthesis, the equation for this process is:', 'Plants and other photoautotrophs use solar energy to produce carbohydrate from atmospheric carbon dioxide and water by photosynthesis.', 'Through the process of photosynthesis, plants capture energy from light and use it to combine carbon dioxide and water to produce carbohydrates and oxygen.']"
31,164,31_orbit_eccentricity_days_orbits,"['orbit', 'eccentricity', 'days', 'orbits', 'distance', 'orbital', 'inclination', 'ecliptic', 'minutes', 'planets']","['Its orbit has an eccentricity of 0.05 and an inclination of 9 ° with respect to the ecliptic.', 'Its orbit has an eccentricity of 0.09 and an inclination of 5 ° with respect to the ecliptic.', 'Its orbit has an eccentricity of 0.09 and an inclination of 9° with respect to the ecliptic.']"
32,158,32_preserves_dating_fossils_period,"['preserves', 'dating', 'fossils', 'period', 'late', 'deposits', 'rocks', 'stage', 'identify', 'extinction']","['It preserves fossils dating back to the Neogene period.', 'It preserves fossils dating back to the Ordovician period.', 'It preserves fossils dating back to the Carboniferous period.']"
33,149,33_cloud_clouds_precipitation_condensation,"['cloud', 'clouds', 'precipitation', 'condensation', 'cosmic', 'droplets', 'rain', 'rays', 'albedo', 'liquid']","['DMS is oxidized to form sulfate which, in areas where ambient aerosol particle concentrations are low, can contribute to the population of cloud condensation nuclei, mostly leading to increased cloud cover and cloud albedo according to the so-called CLAW Hypothesis.', 'Cloud droplets form onto pre-existing aerosol particles, known as cloud condensation nuclei (CCN).', 'Cloud condensation nuclei or CCNs (also known as cloud seeds) are small particles typically 0.2 µm, or 1/100th the size of a cloud droplet on which water vapor condenses.']"
34,149,34_flowers_blooms_fruit_yellow,"['flowers', 'blooms', 'fruit', 'yellow', 'produces', 'white', 'early', 'summer', 'producing', 'spring']","['It blooms from May to October and produces yellow flowers.', 'It blooms from August to September and produces yellow flowers.', 'It blooms from November to February and produces yellow flowers.']"
35,147,35_renewable_energy_technologies_renewables,"['renewable', 'energy', 'technologies', 'renewables', 'electricity', 'power', 'investment', 'supply', 'deployment', 'technological']","[""The IPCC said that if governments were supportive, and the full complement of renewable energy technologies were deployed, renewable energy supply could account for almost 80% of the world's energy use within forty years."", 'Renewable energy has potential in Australia, and the Climate Change Authority is reviewing the 20-percent Renewable Energy Target (RET).', 'EUREC: The Association of European Renewable Energy Research Centres']"
36,146,36_feedback_thermodynamics_positive_law,"['feedback', 'thermodynamics', 'positive', 'law', 'equilibrium', 'second', 'negative', 'systems', 'theory', 'state']","['Relationships contain feedback loops Both negative (damping) and positive (amplifying) feedback are always found in complex systems.', 'This is an example of positive feedback.', 'The second law of thermodynamics is valid only for systems which are near or in equilibrium state.']"
37,144,37_act_clean_air_federal,"['act', 'clean', 'air', 'federal', 'pollution', 'plan', 'standards', 'law', 'agency', 'protection']","['Significant amendments were also enacted to the United States Clean Air Act and Clean Water Act.', 'Clean Air Act"" of 1963', 'The EPA analyzes violators of the Clean Air Act and addresses the violators accordingly.']"
38,143,38_ppm_dioxide_atmospheric_atmosphere,"['ppm', 'dioxide', 'atmospheric', 'atmosphere', 'concentrations', 'carbon', 'concentration', 'greenhouse', 'gases', '280']","['Human activities since the beginning of the Industrial Revolution (around 1750) have produced a 45% increase in the atmospheric concentration of carbon dioxide, from 280 ppm in 1750 to 415 ppm in 2019.', 'During the glacial–interglacial cycles of the past million years, natural processes have varied by approximately 100\xa0ppm (from 180\xa0ppm to 280\xa0ppm) , anthropogenic net emissions of have increased atmospheric concentration by a comparable amount: From 280\xa0ppm (Holocene or pre-industrial ""equilibrium"") to approximately 400\xa0ppm, with 2015–2016 monthly monitoring data of displaying a rising trend above 400\xa0ppm.', 'Atmospheric carbon dioxide has increased from about 280 ppm in 1750 to 383 ppm in 2007 and is increasing at an average rate of 2 ppm pr year.']"
39,143,39_glaciers_glacier_retreat_retreating,"['glaciers', 'glacier', 'retreat', 'retreating', 'retreated', 'mass', 'balance', 'glacial', 'lost', 'rate']","['Glaciologists researching the North Cascades found that all 47 monitored glaciers are receding while four glaciers—Spider Glacier, Lewis Glacier, Milk Lake Glacier and David Glacier—have disappeared completely since 1985.', 'In 2005, the Italian Glacier Commission found that 123 glaciers in Lombardy were retreating.', 'Similarly, of the glaciers in the Italian Alps, only about a third were in retreat in 1980, while by 1999, 89% of these glaciers were retreating.']"
40,143,40_panel_change_assessment_climate,"['panel', 'change', 'assessment', 'climate', 'report', 'reports', 'impacts', 'entitled', 'research', 'global']","['New York City Panel on Climate Change, an advisory panel to the New York City Mayor on climate change modeled on the Intergovernmental Panel on Climate Change (IPCC)', 'Climate change was incorporated in the title of the Intergovernmental Panel on Climate Change (IPCC) and the UN Framework Convention on Climate Change (UNFCCC).', 'Research during this period has been summarized in the Assessment Reports by the Intergovernmental Panel on Climate Change.']"
41,143,41_islands_island_area_land,"['islands', 'island', 'area', 'land', 'small', 'hectares', 'bird', 'located', 'birds', 'group']","['Nowhere is this more evident than atoll islands.', 'Some of the offshore islands here include Great Saint James Island, Little Saint James Island, Bovoni Cay, Patricia Cay, Cas Cay, Rotto Cay, Thatch Cay, Shark Island, and Dog Island.', 'Soteriscus disimilis Rodríguez, 1990 -- Canary Islands : Lanzarote, Lobos Island and Fuerteventura']"
42,141,42_resigned_chairman_announced_president,"['resigned', 'chairman', 'announced', 'president', 'office', 'position', 'election', 'party', 'served', '2002']","['In February 2009 he resigned from DMK and as an MLA.', 'In May 2015 he pleaded guilty and resigned his Assembly seat.', 'He resigned as chief after ten years due to his illness.']"
43,138,43_genetic_selection_evolution_evolutionary,"['genetic', 'selection', 'evolution', 'evolutionary', 'diversity', 'sexual', 'life', 'organisms', 'reproduction', 'natural']","['The smaller the population is, the more likely genetic drift will be a driving force of evolution rather than natural selection.', 'Genetic algorithms are search algorithms, based on the mechanics of natural selection and natural genetics.', 'An evolutionary landscape is a metaphor, a construct used to think about and visualize the processes of evolution (e.g. natural selection and genetic drift) acting on a biological entity (e.g., a gene, protein, population, species).']"
44,126,44_fertilizers_nitrogen_fertilizer_soil,"['fertilizers', 'nitrogen', 'fertilizer', 'soil', 'nutrients', 'organic', 'plant', 'nutrient', 'applied', 'plants']","['Nitrogen fertilizers are made from ammonia (NH), which is sometimes injected into the ground directly.', 'Microbes degrade many fertilizers, e.g., by immobilization or oxidation.', 'NPK fertilizers are three-component fertilizers providing nitrogen, phosphorus, and potassium.']"
45,125,45_water_scarcity_population_access,"['water', 'scarcity', 'population', 'access', 'people', 'live', 'billion', 'fresh', 'resources', 'demand']","['A further 1.6 billion people live in areas experiencing economic water scarcity, where the lack of investment in water or insufficient human capacity make it impossible for authorities to satisfy the demand for water.', 'A further 1.6 billion people live in areas experiencing economic water scarcity, where the lack of investment in water or insufficient human capacity make it impossible for authorities to satisfy the demand for water.', 'Water scarcity is the lack of fresh water resources to meet water demand.']"
46,124,46_university_professor_sciences_director,"['university', 'professor', 'sciences', 'director', 'science', 'member', 'scientist', 'physics', 'center', 'served']","['Laurence E. Peterson is Emeritus Professor of Physics and Director of the Center for Astrophysics and Space Sciences at the University of California, San Diego, California.', 'Phang Siew Moi is the founding director of Institute of Ocean & Earth Science and full professor Institute of Biological Sciences, Faculty of Science, University of Malaya.', 'They include Patrick Moore, former member of Greenpeace but later became a critic of the organisation; Richard Lindzen, professor of meteorology at the Massachusetts Institute of Technology; Patrick Michaels, Research Professor of Environmental Sciences at the University of Virginia; Nigel Calder, editor of ""New Scientist"" from 1962 to 1966; John Christy, professor and director of the Earth System Science Center at University of Alabama; Paul Reiter of the Pasteur Institute; former British Chancellor of the Exchequer Nigel Lawson; and Piers Corbyn, a British weather forecaster.']"
47,124,47_sustainability_sustainable_development_social,"['sustainability', 'sustainable', 'development', 'social', 'movement', 'environmental', 'business', 'environment', 'economics', 'economic']","['motivation; issues), the integration of sustainability in the organisation (i.e.', 'The idea of sustainability as a business opportunity has led to the formation of organizations such as the Sustainability Consortium of the Society for Organizational Learning, the Sustainable Business Institute, and the World Council for Sustainable Development.', 'Sustainability science, like sustainability itself, derives some impetus from the concepts of sustainable development and environmental science.']"
48,120,48_biodiversity_ecosystem_services_management,"['biodiversity', 'ecosystem', 'services', 'management', 'ecosystems', 'ecological', 'ecology', 'species', 'organisms', 'human']","['In 2019, a summary for policymakers of the largest, most comprehensive study to date of biodiversity and ecosystem services was published by the Intergovernmental Science-Policy Platform on Biodiversity and Ecosystem Services.', 'In 2019, a summary for policymakers of the largest, most comprehensive study to date of biodiversity and ecosystem services, the ""Global Assessment Report on Biodiversity and Ecosystem Services"", was published by the Intergovernmental Science-Policy Platform on Biodiversity and Ecosystem Services.', ""The Global Assessment Report on Biodiversity and Ecosystem Services is a report by the United Nations' Intergovernmental Science-Policy Platform on Biodiversity and Ecosystem Services, on the global state of biodiversity.""]"
49,116,49_permafrost_methane_release_melting,"['permafrost', 'methane', 'release', 'melting', 'continuous', 'arctic', 'soil', 'ground', 'frozen', 'soils']","['Furthermore, permafrost melting will eventually cause methane release from melting permafrost peat bogs.', 'Discontinuous permafrost is often further divided into ""extensive discontinuous permafrost"", where permafrost covers between 50 and 90 percent of the landscape and is usually found in areas with mean annual temperatures between , and ""sporadic permafrost"", where permafrost cover is less than 50 percent of the landscape and typically occurs at mean annual temperatures between .', 'Alpine permafrost in the Andes has not been mapped.']"
50,110,50_oscillation_eastern_southern_surface,"['oscillation', 'eastern', 'southern', 'surface', 'events', 'pressure', 'ocean', 'decadal', 'phase', 'warm']","['This component is an oscillation in surface air pressure between the tropical eastern and the western Pacific Ocean waters.', ""It is a phase of 'El Niño–Southern Oscillation' (ENSO), which refers to variations in the temperature of the surface of the tropical eastern Pacific Ocean and in air surface pressure in the tropical western Pacific."", 'La Niña is the positive and cold phase of the El Niño–Southern Oscillation, and is associated with cooler-than-average sea surface temperatures in the central and eastern tropical Pacific Ocean.']"
51,108,51_biofuels_biofuel_biomass_waste,"['biofuels', 'biofuel', 'biomass', 'waste', 'fuel', 'fuels', 'produced', 'derived', 'transport', 'organic']","['Assessing Biofuels"" outlined the wider and interrelated factors that need to be considered when deciding on the relative merits of pursuing one biofuel over another.', 'Biofuels can be produced from plants (i.e.', 'Biofuels are similar to fossil fuels in that biofuels contribute to air pollution.']"
52,108,52_records_recording_record_recorded,"['records', 'recording', 'record', 'recorded', 'released', 'release', 'releasing', '1960s', 'rock', 'signed']","['Records and consisted of hip hop and R&B music.', 'Adults have been recorded from March to September, with most records from August.', 'This record was certified by Guinness World Records.']"
53,108,53_troposphere_stratosphere_air_vapor,"['troposphere', 'stratosphere', 'air', 'vapor', 'cooling', 'altitude', 'height', 'temperature', 'decreases', 'atmosphere']","['All air entering the stratosphere must pass through the tropopause, the temperature minimum that divides the troposphere and stratosphere.', 'Atop the troposphere is the tropopause, which is the border between the troposphere and stratosphere.', 'The border between the troposphere and stratosphere, the tropopause, marks where this temperature inversion begins.']"
54,105,54_disease_diseases_spread_treatment,"['disease', 'diseases', 'spread', 'treatment', 'number', 'health', 'increase', 'risk', 'commonly', 'reported']","['Dengue fever used to be considered a tropical disease, but climate change is causing dengue fever to spread.', ""Dengue is the world's most important vector-borne viral disease."", 'Her research encompasses sexually-transmitted diseases (STDs) such as HIV/AIDS, as well as vector-borne diseases, such as Lyme disease, dengue, and Zika virus and Zika fever.']"
55,104,55_fires_wildfires_burned_contained,"['fires', 'wildfires', 'burned', 'contained', 'started', 'forest', 'drought', 'areas', 'burn', 'broke']","['Many fires near urban areas are caused by arson, and thus the frequency is often much higher than fires would have been prior to human habitation.', 'The Comanche Complex Fires were four fires that burned together in Arvin, California forming the largest fire of the 2011 California wildfire season.', 'Investigators ruled both fires as arson.']"
56,104,56_electricity_consumption_renewable_energy,"['electricity', 'consumption', 'renewable', 'energy', 'total', 'hydropower', 'percent', 'biomass', 'generation', 'world']","[""In 2015 hydropower generated 16.6% of the world's total electricity and 70% of all renewable electricity and is expected to increase about 3.1% each year for the next 25 years."", 'In 2015 hydropower generated 16.6% of the worlds total electricity and 70% of all renewable electricity.', 'In 2015 hydropower generated 16.6% of the worlds total electricity and 70% of all renewable electricity.']"
